Designator,Footprint,Quantity,Value,LCSC Part #
"C-RGB1, C-RGB10, C-RGB11, C-RGB12, C-RGB13, C-RGB14, C-RGB15, C-RGB16, C-RGB17, C-RGB18, C-RGB19, C-RGB2, C-RGB20, C-RGB21, C-RGB22, C-RGB23, C-RGB24, C-RGB25, C-RGB26, C-RGB27, C-RGB28, C-RGB29, C-RGB3, C-RGB31, C-RGB32, C-RGB33, C-RGB34, C-RGB35, C-RGB36, C-RGB37, C-RGB38, C-RGB39, C-RGB4, C-RGB40, C-RGB41, C-RGB42, C-RGB43, C-RGB44, C-RGB45, C-RGB46, C-RGB47, C-RGB48, C-RGB49, C-RGB5, C-RGB50, C-RGB51, C-RGB52, C-RGB53, C-RGB54, C-RGB55, C-RGB56, C-RGB57, C-RGB58, C-RGB59, C-RGB6, C-RGB60, C-RGB61, C-RGB62, C-RGB63, C-RGB64, C-RGB65, C-RGB66, C-RGB67, C-RGB68, C-RGB69, C-RGB7, C-RGB70, C-RGB71, C-RGB72, C-RGB73, C-RGB74, C-RGB75, C-RGB76, C-RGB77, C-RGB78, C-RGB79, C-RGB8, C-RGB80, C-RGB81, C-RGB82, C-RGB83, C-RGB84, C-RGB85, C-RGB86, C-RGB87, C-RGB88, C-RGB89, C-RGB9, C-RGB90, C-RGB92, C1, C10, C11, C12, C13, C14, C15, C3, C4, C5, C7, C8, C9",0402,103,100n,C1525
"C16, C2, C6",0402,3,1u,C52923
"C17, C18",0402,2,10u,C315248
"C19, C20",0402,2,22p,C190090
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9",D_SOD-123,87,1N4148W,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST - 1.00mm 4 Pin,C160404
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED2, LED3, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED6, LED66, LED67, LED68, LED69, LED7, LED70, LED71, LED72, LED73, LED74, LED75, LED76, LED77, LED78, LED79, LED8, LED80, LED81, LED82, LED9",LED_MX_6028R-ROT,50,MX_SK6812MINI-E,C5149201
"LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED31, LED32, LED33, LED34, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED60, LED61, LED62, LED63, LED64, LED65, LED83, LED84, LED85, LED86, LED87, LED88, LED89, LED90, LED92",LED_MX_6028R,40,MX_SK6812MINI-E,C5149201
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX31, MX32, MX33, MX34, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX47, MX48, MX49, MX5, MX50, MX51, MX53, MX54, MX55, MX56, MX57, MX58, MX59, MX6, MX60, MX61, MX62, MX63, MX64, MX65, MX66, MX67, MX68, MX69, MX7, MX70, MX71, MX72, MX73, MX74, MX75, MX76, MX77, MX78, MX79, MX8, MX80, MX81, MX82, MX83, MX84, MX85, MX86, MX87, MX88, MX89, MX9",SW_MX_HS_CPG151101S11_1u,85,~,CPG151101S11-2
MX16,SW_MX_HotSwap_THT,1,~,CPG151101S11-2
MX35,SW_MX_HS_CPG151101S11_1.5u,1,~,CPG151101S11-2
MX52,SW_MX_HS_CPG151101S11_1.75u_STP_1.25,1,~,CPG151101S11-2
R1,0402,1,~,CPG151101S11-2
"R2, R3, R4",0402,3,5.1k,C25905
"R5, R8",0402,2,1k,C106235
"R6, R7",0402,2,27,C22369246
S1,XDCR_EC11J1520402,1,RotaryEncoder_Switch_MP,
U1,SOT-23-5,1,74AHCT1G125,C7484
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVSIQ,C97521
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,1,RP2040,C2040
U4,SOT-23-5,1,AP2112K-3.3,C51118
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz Crystal 3225,C9002
