Designator,Mid X,Mid Y,Rotation,Layer
C-RGB1,118.6996,-56.9911,180.0,bottom
C-RGB10,328.254,-56.9911,0.0,bottom
C-RGB11,347.3044,-56.9911,0.0,bottom
C-RGB12,366.3548,-56.9911,0.0,bottom
C-RGB13,385.4052,-56.9911,0.0,bottom
C-RGB14,409.2182,-56.9911,0.0,bottom
C-RGB15,428.2686,-56.9911,0.0,bottom
C-RGB16,447.319,-56.9911,0.0,bottom
C-RGB17,109.1025,-78.0102,180.0,bottom
C-RGB18,128.1525,-78.0102,180.0,bottom
C-RGB19,147.2025,-78.0102,180.0,bottom
C-RGB2,156.8004,-56.9911,0.0,bottom
C-RGB20,166.2525,-78.0102,180.0,bottom
C-RGB21,185.3025,-78.0102,180.0,bottom
C-RGB22,204.3525,-78.0102,180.0,bottom
C-RGB23,223.4025,-78.0102,180.0,bottom
C-RGB24,242.4525,-78.0102,180.0,bottom
C-RGB25,261.5025,-78.0102,180.0,bottom
C-RGB26,280.5525,-78.0102,180.0,bottom
C-RGB27,299.6025,-78.0102,180.0,bottom
C-RGB28,318.6525,-78.0102,180.0,bottom
C-RGB29,337.7025,-78.0102,180.0,bottom
C-RGB3,175.8508,-56.9911,0.0,bottom
C-RGB31,366.2868,-78.0098,180.0,bottom
C-RGB32,399.615,-78.0102,180.0,bottom
C-RGB33,418.665,-78.0102,180.0,bottom
C-RGB34,437.715,-78.0102,180.0,bottom
C-RGB35,123.4622,-99.855,0.0,bottom
C-RGB36,147.2752,-99.855,0.0,bottom
C-RGB37,166.3256,-99.855,0.0,bottom
C-RGB38,185.376,-99.855,0.0,bottom
C-RGB39,204.4264,-99.855,0.0,bottom
C-RGB4,194.9012,-56.9911,0.0,bottom
C-RGB40,223.4768,-99.855,0.0,bottom
C-RGB41,242.5272,-99.855,0.0,bottom
C-RGB42,261.5776,-99.855,0.0,bottom
C-RGB43,280.628,-99.855,0.0,bottom
C-RGB44,299.6784,-99.855,0.0,bottom
C-RGB45,318.7288,-99.855,0.0,bottom
C-RGB46,337.7792,-99.855,0.0,bottom
C-RGB47,356.8296,-99.855,0.0,bottom
C-RGB48,380.6426,-99.855,0.0,bottom
C-RGB49,409.2182,-99.855,0.0,bottom
C-RGB5,213.9516,-56.9911,0.0,bottom
C-RGB50,428.2686,-99.855,0.0,bottom
C-RGB51,447.319,-99.855,0.0,bottom
C-RGB52,126.6325,-106.3073,315.0,bottom
C-RGB53,107.0925,-110.8973,225.0,bottom
C-RGB54,142.44,-116.1102,180.0,bottom
C-RGB55,161.49,-116.1102,180.0,bottom
C-RGB56,180.54,-116.1102,180.0,bottom
C-RGB57,199.59,-116.1102,180.0,bottom
C-RGB58,218.64,-116.1102,180.0,bottom
C-RGB59,237.69,-116.1102,180.0,bottom
C-RGB6,242.5272,-56.9911,0.0,bottom
C-RGB60,256.74,-116.1102,180.0,bottom
C-RGB61,275.79,-116.1102,180.0,bottom
C-RGB62,294.84,-116.1102,180.0,bottom
C-RGB63,313.89,-116.1102,180.0,bottom
C-RGB64,332.94,-116.1102,180.0,bottom
C-RGB65,363.89625,-116.1102,180.0,bottom
C-RGB66,130.6061,-137.9553,0.0,bottom
C-RGB67,161.563,-137.9553,0.0,bottom
C-RGB68,180.6134,-137.9553,0.0,bottom
C-RGB69,194.712389,-138.979211,135.0,bottom
C-RGB7,261.5776,-56.9911,0.0,bottom
C-RGB70,218.7142,-137.9553,0.0,bottom
C-RGB71,237.7646,-137.9553,0.0,bottom
C-RGB72,256.815,-137.9553,0.0,bottom
C-RGB73,275.8654,-137.9553,0.0,bottom
C-RGB74,294.9158,-137.9553,0.0,bottom
C-RGB75,313.9662,-137.9553,0.0,bottom
C-RGB76,333.0166,-137.9553,0.0,bottom
C-RGB77,368.7361,-137.9553,0.0,bottom
C-RGB78,428.2686,-137.9553,0.0,bottom
C-RGB79,121.0809,-157.0057,0.0,bottom
C-RGB8,280.628,-56.9911,0.0,bottom
C-RGB80,144.8939,-157.0057,0.0,bottom
C-RGB81,168.7069,-157.0057,0.0,bottom
C-RGB82,197.2825,-157.0057,0.0,bottom
C-RGB83,301.98375,-154.2102,180.0,bottom
C-RGB84,325.79625,-154.2102,180.0,bottom
